Customer_ID,Customer_Name,Gender,Age,Customer_Segment,Purchase_Date,Product_Category,Quantity,Unit_Price,Total_Amount,Payment_Method,Sales_Channel,Region,Weekday,Month,Quarter,Year,Cost_Price,Revenue,Profit,Margin
355c5806,Hannah Garcia,Other,28,New,04-06-2023,Sports,7,1770,12390,Wallet,App,South,Sunday,6,2,2023,1131,12389,4469,0.36
31c4c728,Brittany Davila,Female,40,Regular,10-07-2023,Home Appliances,7,789,5523,Credit Card,App,East,Monday,7,3,2023,578,5520,1477,0.27
116363b4,Emily Martinez,Other,38,New,02-08-2024,Beauty,10,106,1060,Debit Card,App,North,Friday,8,3,2024,68,1060,379,0.36
4de12745,Nicole Martin,Male,39,Regular,15-03-2025,Home Appliances,4,685,2740,Debit Card,Online,North,Saturday,3,1,2025,442,2741,971,0.35
1de1d2ef,Melissa Ruiz,Female,41,New,22-10-2024,Home Appliances,10,327,3270,Wallet,In-Store,East,Tuesday,10,4,2024,292,3269,351,0.11
7ec70527,Bailey Davidson,Female,55,Regular,09-09-2023,Sports,1,3618,3618,Cash,In-Store,West,Saturday,9,3,2023,2344,3618,1274,0.35
07d6a540,Jeremy Anderson,Other,31,New,21-10-2024,Home Appliances,10,3144,31440,Cash,In-Store,East,Monday,10,4,2024,2341,31442,8037,0.26
a1cb6295,Adam Johnson,Male,40,New,28-07-2024,Clothing,3,2904,8712,Cash,Online,North,Sunday,7,3,2024,2274,8711,1889,0.22
53ec4915,Amy Freeman,Female,18,Regular,06-09-2024,Home Appliances,4,3680,14720,Cash,In-Store,South,Friday,9,3,2024,2417,14719,5050,0.34
a1f0427d,Andrea Mcdonald,Male,58,Premium,30-08-2023,Electronics,3,3163,9489,Cash,Online,South,Wednesday,8,3,2023,2729,9488,1299,0.14
7f0598d1,Christopher Lowery,Other,32,New,23-11-2023,Electronics,4,119,476,Debit Card,App,East,Thursday,11,4,2023,88,477,127,0.27
4a8af1a5,Ryan Gonzalez,Other,42,Regular,14-02-2024,Beauty,3,2313,6939,Credit Card,Online,North,Wednesday,2,1,2024,2021,6940,875,0.13
cae3252e,Anthony Dean,Male,34,Premium,06-10-2023,Clothing,2,476,952,UPI,App,South,Friday,10,4,2023,356,951,239,0.25
21c3c980,Molly Lopez,Female,64,New,23-08-2024,Beauty,5,1920,9600,Wallet,App,East,Friday,8,3,2024,1497,9602,2115,0.22
3c241359,Patrick Diaz,Male,24,Regular,24-04-2024,Electronics,3,1931,5793,UPI,In-Store,West,Wednesday,4,2,2024,1504,5793,1279,0.22
04b521ff,Anthony Miranda,Female,59,Premium,15-01-2024,Clothing,6,2883,17298,Wallet,In-Store,North,Monday,1,1,2024,1761,17295,6728,0.39
b268a6d7,Teresa Burgess,Female,19,Regular,07-06-2024,Clothing,3,4862,14586,Debit Card,App,North,Friday,6,2,2024,4114,14586,2244,0.15
04b0ada4,Jorge Duarte,Male,38,New,18-04-2024,Electronics,10,1846,18460,Cash,App,East,Thursday,4,2,2024,1544,18458,3015,0.16
cb9a6f6d,Kenneth Ortiz,Other,52,Regular,09-09-2024,Books,5,4632,23160,Cash,App,South,Monday,9,3,2024,3100,23160,7658,0.33
e6095c86,Tony Butler,Female,56,New,06-01-2024,Books,7,281,1967,UPI,App,South,Saturday,1,1,2024,202,1969,558,0.28
493ce0ca,Pamela King,Other,40,Regular,07-10-2023,Home Appliances,5,2547,12735,Cash,Online,South,Saturday,10,4,2023,2008,12737,2697,0.21
8b442dab,Kevin Mathews,Female,59,New,21-07-2024,Electronics,3,4256,12768,Debit Card,Online,West,Sunday,7,3,2024,2760,12767,4486,0.35
6e0711bb,Rachel Sims,Other,27,Regular,13-02-2025,Beauty,3,1660,4980,UPI,App,West,Thursday,2,1,2025,1380,4980,839,0.17
67ffb207,Joseph Douglas,Male,44,Regular,29-09-2024,Electronics,8,1210,9680,Credit Card,In-Store,East,Sunday,9,3,2024,861,9681,2796,0.29
1d1fd266,Sherry Cook,Female,27,Regular,08-01-2024,Home Appliances,5,2887,14435,Cash,App,North,Monday,1,1,2024,2489,14435,1988,0.14
5db6c1da,James Velazquez,Female,49,Regular,15-01-2024,Home Appliances,5,1270,6350,Debit Card,In-Store,South,Monday,1,1,2024,1107,6352,818,0.13
801f1e61,Ashley Hardy,Other,58,Premium,12-11-2024,Beauty,6,3434,20604,UPI,In-Store,South,Tuesday,11,4,2024,2258,20602,7053,0.34
991dfa65,Tanya Odonnell,Female,64,New,17-04-2024,Clothing,10,682,6820,Credit Card,In-Store,East,Wednesday,4,2,2024,432,6819,2497,0.37
41a91649,Jerry Olson,Female,24,New,23-11-2024,Groceries,7,4341,30387,Cash,Online,East,Saturday,11,4,2024,3508,30389,5830,0.19
c1ca16a2,Noah Valencia,Other,37,New,23-02-2024,Home Appliances,6,4891,29346,Credit Card,In-Store,West,Friday,2,1,2024,3637,29345,7523,0.26
9204d570,Bethany Ramirez,Other,35,Premium,18-03-2025,Sports,3,2731,8193,Debit Card,Online,North,Tuesday,3,1,2025,2259,8194,1418,0.17
b826f036,Kristen Moses,Other,37,Regular,16-05-2023,Electronics,3,3190,9570,Wallet,App,East,Tuesday,5,2,2023,1922,9571,3804,0.4
287ca69c,Roger Rosales,Male,21,New,30-01-2025,Beauty,9,4461,40149,Debit Card,In-Store,North,Thursday,1,1,2025,3710,40148,6757,0.17
b82c1e37,Austin Mckee,Other,64,Regular,09-01-2025,Electronics,9,3578,32202,UPI,App,North,Thursday,1,1,2025,2637,32206,8477,0.26
f515400a,Terry Robertson,Male,47,Premium,06-06-2024,Beauty,6,2962,17772,Credit Card,In-Store,South,Thursday,6,2,2024,2286,17771,4053,0.23
04d3615c,Richard Rodriguez,Other,38,Regular,29-12-2023,Beauty,10,349,3490,UPI,In-Store,East,Friday,12,4,2023,269,3490,796,0.23
c4cc6be5,Destiny Rodriguez,Female,58,Regular,14-10-2023,Books,2,1778,3556,Wallet,Online,West,Saturday,10,4,2023,1089,3557,1379,0.39
706b5ed9,Jordan Rangel,Male,18,Regular,19-12-2023,Home Appliances,9,3440,30960,UPI,Online,North,Tuesday,12,4,2023,2447,30961,8940,0.29
ec6dff24,Courtney Miller,Other,46,Regular,20-01-2025,Beauty,9,4006,36054,Credit Card,In-Store,North,Monday,1,1,2025,3223,36053,7043,0.2
26641765,Julie Drake,Female,56,Premium,19-02-2024,Home Appliances,3,1341,4023,Wallet,Online,South,Monday,2,1,2024,812,4023,1587,0.39
71878461,Cory Harris,Male,49,Premium,26-12-2024,Books,10,4052,40520,Cash,In-Store,South,Thursday,12,4,2024,3230,40519,8217,0.2
f7d394a7,Brett Gonzales,Male,34,Regular,04-01-2025,Groceries,2,3283,6566,Wallet,In-Store,North,Saturday,1,1,2025,2811,6567,945,0.14
e96fe99c,Angela Smith,Female,42,Premium,13-08-2023,Books,2,2584,5168,UPI,App,North,Sunday,8,3,2023,1741,5167,1685,0.33
efa397f6,Nathaniel Huynh DVM,Male,60,Premium,21-04-2024,Beauty,6,1788,10728,Cash,In-Store,East,Sunday,4,2,2024,1097,10725,4145,0.39
